               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.7355,              6.7885,               4.162,             0.22378,             0.29141,             0.15662,             0.05023,                   0,                   0,                   0,            0.070039,            0.003329,            0.003329
                   1,              3.1144,              2.7997,              2.1328,             0.47563,             0.40093,             0.38999,             0.15382,                   0,                   0,                   0,            0.040026,           0.0066491,           0.0066491
                   2,              2.7859,              2.4346,              1.8201,             0.45786,             0.38919,             0.37117,             0.14469,                   0,                   0,                   0,           0.0099997,            0.009956,            0.009956
                   3,              2.6947,              2.2709,              1.7608,             0.51944,             0.44965,              0.4546,             0.17091,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,              2.6104,              2.1158,              1.7033,             0.66563,             0.60218,             0.66589,             0.30345,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,              2.5511,              2.0457,              1.6801,             0.66317,             0.60231,             0.66279,             0.29846,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,              2.5128,              1.9421,              1.6546,             0.70331,             0.64726,              0.7251,             0.33418,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   7,              2.5063,              1.9118,              1.6456,             0.66033,             0.58283,             0.64931,              0.2938,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,              2.4956,              1.8934,              1.6383,             0.70949,             0.67024,              0.7355,             0.34025,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,              2.4686,              1.8503,              1.6413,             0.70228,             0.66212,             0.73042,             0.33558,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,              2.4491,              1.8149,              1.6245,             0.72866,               0.711,              0.7714,             0.36648,                   0,                   0,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,              2.4376,              1.7838,              1.6136,             0.71425,             0.66868,             0.74226,             0.33752,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  12,              2.4182,              1.7483,              1.6118,             0.71177,             0.67335,             0.74381,             0.34127,                   0,                   0,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,              2.4141,              1.7336,              1.6008,             0.72694,             0.67556,             0.75518,             0.35446,                   0,                   0,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,              2.4021,              1.7312,              1.6068,             0.72226,             0.70116,             0.76577,             0.36922,                   0,                   0,                   0,           0.0097426,           0.0097426,           0.0097426
