               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,               2.308,              1.5329,              1.5695,             0.76731,             0.76502,             0.83276,             0.41625,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,              2.3003,              1.5111,              1.5486,              0.7804,             0.76611,             0.83627,             0.41545,                   0,                   0,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,              2.2923,              1.5082,              1.5519,             0.77988,             0.77297,             0.84028,             0.42101,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  42,              2.2989,              1.5241,              1.5593,             0.77528,             0.77951,             0.84206,             0.42387,                   0,                   0,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,               2.285,              1.5047,              1.5525,             0.77779,              0.7801,             0.83971,             0.41847,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,              2.2784,              1.5016,              1.5494,             0.77094,             0.78425,             0.84269,             0.42307,                   0,                   0,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,              2.2878,              1.4942,              1.5513,             0.77924,             0.78169,             0.84763,             0.42861,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,              2.2665,              1.4859,              1.5514,             0.77126,             0.78632,             0.84459,             0.42692,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  47,              2.2761,              1.4902,              1.5581,             0.77882,             0.78769,             0.84735,             0.42846,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,              2.2739,              1.4888,              1.5592,             0.78781,             0.77181,             0.84546,             0.42727,                   0,                   0,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,              2.2654,              1.4866,              1.5458,             0.76993,             0.78805,             0.84733,             0.42956,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,              2.2796,              1.4844,              1.5478,               0.788,             0.77544,             0.84845,             0.42868,                   0,                   0,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,              2.2804,              1.4874,              1.5406,             0.78379,             0.78269,             0.85134,             0.43058,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  52,              2.2744,              1.4633,              1.5546,             0.79376,             0.77251,             0.85029,             0.43071,                   0,                   0,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,              2.2588,               1.463,              1.5453,             0.78777,             0.78096,             0.85166,             0.43146,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,              2.2774,              1.4739,              1.5492,             0.78316,             0.78298,             0.85027,             0.42944,                   0,                   0,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,              2.2641,              1.4588,               1.534,             0.78279,             0.78627,             0.85099,             0.43238,                   0,                   0,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,              2.2651,              1.4818,               1.543,             0.77464,              0.7933,             0.85055,             0.43175,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  57,              2.2601,               1.464,              1.5412,             0.77531,             0.79099,              0.8523,             0.43253,                   0,                   0,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,              2.2501,              1.4427,              1.5442,              0.7763,             0.79409,             0.85484,             0.43476,                   0,                   0,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,              2.2516,              1.4516,              1.5373,             0.79321,             0.77993,             0.85674,             0.43617,                   0,                   0,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,              2.2507,              1.4446,              1.5439,              0.7873,             0.79116,             0.85797,             0.43753,                   0,                   0,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,              2.2437,              1.4481,              1.5427,             0.79469,             0.78476,             0.85928,             0.43716,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  62,              2.2548,              1.4383,              1.5349,             0.78818,             0.79318,             0.85939,             0.43842,                   0,                   0,                   0,           0.0087922,           0.0087922,           0.0087922
