               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,               2.288,              1.5021,              1.5597,             0.77795,             0.77146,             0.84135,             0.42497,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,              2.2789,               1.487,              1.5405,             0.79341,             0.76386,             0.84459,             0.42591,                   0,                   0,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,              2.2751,              1.4902,              1.5437,             0.79037,             0.76404,              0.8444,             0.42588,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  42,              2.2788,              1.4958,              1.5481,             0.78661,             0.77233,             0.84408,              0.4214,                   0,                   0,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,              2.2704,              1.4698,               1.544,             0.78062,             0.78131,             0.84967,             0.42639,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,              2.2621,               1.469,              1.5421,             0.78571,              0.7778,             0.84949,             0.42782,                   0,                   0,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,              2.2652,              1.4655,              1.5394,             0.80036,             0.77112,             0.85358,             0.43411,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,              2.2483,              1.4646,              1.5428,             0.77912,              0.7854,             0.85061,             0.42905,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  47,              2.2584,              1.4623,              1.5498,             0.79598,             0.77682,              0.8528,             0.43334,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,              2.2553,              1.4661,               1.549,             0.79097,             0.77544,             0.85183,             0.43422,                   0,                   0,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,              2.2473,              1.4584,              1.5366,             0.79045,             0.77993,             0.85122,             0.43467,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,               2.259,              1.4552,              1.5376,             0.78961,              0.7801,             0.85476,             0.43556,                   0,                   0,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,              2.2607,              1.4633,              1.5325,             0.79728,             0.78356,             0.85705,             0.43794,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  52,              2.2585,              1.4424,              1.5455,              0.7984,             0.78286,             0.85743,             0.43825,                   0,                   0,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,              2.2338,              1.4367,              1.5333,             0.79942,             0.78511,             0.85766,             0.43833,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,                2.26,              1.4479,              1.5415,             0.80292,             0.78027,             0.85693,             0.43719,                   0,                   0,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,              2.2493,              1.4368,              1.5266,             0.80518,             0.77889,              0.8575,             0.43732,                   0,                   0,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,              2.2444,              1.4508,              1.5334,             0.80114,             0.78407,             0.86192,             0.43949,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  57,              2.2457,              1.4332,              1.5339,             0.80024,             0.78403,             0.86296,             0.44118,                   0,                   0,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,              2.2329,              1.4207,              1.5334,             0.79502,             0.78856,             0.86418,             0.44323,                   0,                   0,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,              2.2381,              1.4184,              1.5323,             0.79998,             0.78482,             0.86306,             0.44301,                   0,                   0,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,              2.2377,              1.4185,              1.5369,             0.79407,             0.79398,             0.86547,             0.44381,                   0,                   0,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,               2.226,              1.4137,              1.5342,             0.79451,             0.79858,              0.8669,              0.4448,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
