14762574,Population
17715191,GDP
23442545,GDP per capita
19015976,DEM
3886545,Geomorphology
1554457,Land use
21304514,RSEI
13018280,NDVI
15066033,Nighttime light
21642804,Temperature
16910352,Precipitation
8209973,Distance to river
24803321,Distance to coastline
17097687,Distance to scenery
15494496,City index
4753,Province index
18717793,Latitude
26949891,Longitude
1568106,Funeral policy
4994503,Distance to administrative center
